Name,Client,Ink Type,Substrate,Coating,Ink number,SAP,approved_on ,created_at,Comments,customer_id
PMS 1665C EMERGEN-C ORANGE,PFIZER,UV,EVEREST,UV,EPS0164E,1528205,INT,29/Aug/2016,,3
PMS 168,,C,MILLMASK,AQ,EPC0168C,1573354,,13/Aug/2018,,3
PMS 169,,C,EVEREST,AQ,EPC0169E,1603649,CLIENT,5/Dec/2019,,3
PMS 170,,C,CCNB,AQ,EPC0170C,1600108,,6/Sep/2019,,3
PMS 171C,,UV,EVEREST,AQ,EPU0171E,1538359,,24/Feb/2017,BRING UP DENSITY,3
PMS 172C,,UV,Everest,UV,EPU0172E,1613419,,23/Apr/2020,,3
PMS 173C,,UV,EVEREST,MATTE UV,EPU0173E,1578481,,8/Nov/2018,,3
PMS 1788,,UV,SBS,UV,EPU1788C,1497270,,9/Apr/2015,,3
PMS 1788,,UV,EVEREST,ST,EPU1788E,1531531,,1/Nov/2016,,3
PMS 1788,,C,EVEREST,AQ,EPC1788E,1545058,INT,17/Jun/2017,,3
PMS 179,,C,EVEREST,AQ,EPC0179C,1492955,,16/Jul/2015,,3
PMS 1795 RED,,UV,FOIL,,EPS0212C,1556880,CLIENT,29/Nov/2017,,3
PMS 1805,,UV,SUS,UV,EPU1805C,1596956,INT,17/Jul/2019,,3
PMS 1805,,UV,EVEREST,AQ,EPU1805C,1596956,,1/Aug/2019,,3
PMS 1805,,C,EVEREST,AQ,EPC1805E,1575748,,24/Sep/2018,,3
PMS 184,,C,CCNB,AQ,EPC0184C,1600107,INT,6/Sep/2019,,3
PMS 185,Advil,UV,EVEREST,AQ,EPU0185E,1490779,Client,20/Apr/2020,,3
PMS 185,,C,EVEREST,AQ,EPC0185E,1523079,,5/Oct/2018,,3
PMS 185,,C,EVEREST,AQ,EPC0185E,1497599,,6/May/2016,,3
PMS 185,Advil,C,Everest,,1613082-1319,1613082,INT,16/Apr/2020,Hard Dri for blister coating,3
PMS 185C RED,,UV,GREASE RESIST,AQ,EPS0161C,1527859,INT,25/Aug/2016,,3
PMS 185C RED,,UV,EVEREST,AQ,EPS0279E,1585695,,11/Mar/2109,,3
PMS 186 RED,SAP NOT EXIST,UV,CCNB,AQ,EPS0004C,1469395,INT,30/Oct/2013,,3
PMS 186 RED,,UV,Foil Board,UV MATTE,EPS0308C,1613776,Int,30/Apr/2020,,3
PMS 186C,,UV,CCNB,,EPU0186C,1466818,,29/Oct/2013,,3
PMS 186C,,UV,EVEREST,AQ,EPU0186C,1466818,,30/Oct/2018,,3
PMS 187C,,UV,EVEREST,UV,EPU0187E,1535167,INT,5/Jan/2016,,3
PMS 188,,UV,Everest,AQ,EPU0188E,1611140,Int,9/Mar/2020,,3
PMS 188,Advil,UV,Everest,AQ,EPU0188E,1611140,Int,9/Mar/2020,,3
PMS 188,,C,EVEREST,AQ,EPC0188E,1611270,INT,10/Mar/2020,,3
PMS 1905,,UV,EVEREST,UV,EPU1905E,,,13/Jul/2016,,3
PMS 1915,,UV,EVEREST,UV,EPU1915E,,INT,12/Jul/2016,,3
PMS 1915,,UV,EVEREST,AQ,EPU1915E,1524967,,30/Oct/2018,,3
PMS 1915,,UV,EVEREST,,EPU1915E,,CLIENT,28/Nov/2017,,3
PMS 192,,UV,PRO,AQ,EPU0192C,1609386,INT,10/Feb/2020,,3
PMS 193,,C,EVEREST,AQ,EPC0193E,1598663,INT,14/Aug/2019,,3
PMS 1935,,UV,,UV,EPU1935E,,INT,5/Apr/2017,,3
PMS 1935,,C,EVEREST,AQ,EPC1935C,1579589,,29/Nov/2018,,3
PMS 193C,,UV,EVEREST,UV,EPU0193E,1498493,INT,15/Jan/2019,,3
PMS 194,,UV,POLY,AQ,EPU0194P,1509099,INT,14/Sep/2016,,3
PMS 194,,C,EVEREST,AQ,EPC0194C,1576734,,10/Oct/2018,,3
PMS 195C,Advil,UV,Everest,AQ,EPU0195E,1613795,Int,30/Apr/2020,,3
PMS 195C MAROON,,UV,MET POLY,UV MATTE,EPS0226C,1568938,,30/May/2018,,3
PMS 199,,C,EVEREST,AQ,EPC0199E,1505815,INT,25/Aug/2015,,3
PMS 199C,,UV,MET POLY,UV,EPU0199E,1537364,CLIENT,21/Oct/2019,,3
PMS 199C,,UV,EVEREST,UV,EPU0199E,1537364,,15/Feb/2017,,3
PMS 200,,C,CCNB,AQ,EPC0200C,1573539,INT,18/Aug/2018,,3
PMS 200,,C,EVEREST,AQ,EPC0200E,1505905,INT,16/Aug/2018,,3
PMS 2002,,UV,N FLUTE,AQ,EPU2002C,1534959,INT,4/Jan/2016,,3
PMS 2006,,UV,PRINTKOTE,AQ,EPU2006C,1531304,INT,27/Oct/2016,,3
PMS 200C,,UV,COLD FOIL,UV,EPU0200E,1544137,CLIENT,19/Jun/2019,,3
PMS 200C,,UV,EVEREST,UV,EPU0200E,1544137,INT,30/May/2017,,3
PMS 200C,,UV,EVEREST,ST+UV,EPU0200E,1544137,,31/Oct/2016,,3
PMS 201E,,UV,EVEREST,AQ,EPU0201E,1518292,CLIENT,9/Feb/2018,,3
PMS 2041,,UV,EVEREST,UV,EPU2041E,1582102,INT,16/Jan/2019,,3
PMS 2041C RED,,UV,MET POLY,UV,EPS0254C,1579087,,19/Nov/2018,,3
PMS 205C,,UV,EVEREST+COLD FOIL,,EPU0205E,1511519,,7/Dec/2015,,3
PMS 206C RED,,UV,N FLUTE,AQ,EPS0199C,1545879,,29/Jun/2017,,3
PMS 208,,C,EVEREST,AQ,EPC0208E,1610227,INT,24/Feb/2020,,3
PMS 209,Advil,C,EVEREST,AQ,EPC0209E,1513294,Int,14/Apr/2020,,3
PMS 210,,C,EVEREST,AQ,EPC0210C,1497996,CLIENT,31/Oct/2016,,3
PMS 2104,,UV,EVEREST,UV MATTE,EPU2104E,1578493,,8/Nov/2018,,3
PMS 2119,,UV,EVEREST,UV,EPU2119E,1564614,CLIENT,23/Mar/2018,,3
PMS 212,,C,EVEREST,AQ,EPC0212E,1574665,INT,14/Sep/2018,,3
PMS 212C,WALLGREENS,UV,EVEREST,AQ,EPU0212E,1565428,CLIENT,5/Apr/2018,,3
PMS 212C,,UV,COLD FOIL,UV,EPU0212E,1565428,CLIENT,19/Jun/2019,,3
PMS 213C,,UV,CCNB,MATTE,EPU0213C,1595609,INT,26/Jun/2019,,3
PMS 2144,,UV,EVEREST,UV,EPU2144E,1596340,INT,9/Jul/2019,,3
PMS 2144,,C,EVEREST,AQ,EPC2144E,1545053,INT,15/Jun/2017,,3
PMS 220,,UV,EVEREST,AQ,EPU0220E,1611033,INT,5/Mar/2020,,3
PMS 220,,C,EVEREST,AQ,EPC0220E,1529854,,30/Sep/2014,,3
